cluster_id,size,dominant_L3,dominant_count,second_L3,second_count,purity,top2_gap,top_L3_counts
11,702,Notebooks,357,All-in-One PCs/Workstations,344,0.5085470085470085,0.018518518518518517,Notebooks:357; All-in-One PCs/Workstations:344; PCs/Workstations:1
40,327,TVs,327,,0,1.0,1.0,TVs:327
6,227,Flat Panel Spare Parts,218,Notebook Parts & Accessories,9,0.960352422907489,0.920704845814978,Flat Panel Spare Parts:218; Notebook Parts & Accessories:9
12,190,All-in-One PCs/Workstations,101,Notebooks,89,0.531578947368421,0.06315789473684211,All-in-One PCs/Workstations:101; Notebooks:89
8,161,Warranty & Support Extensions,161,,0,1.0,1.0,Warranty & Support Extensions:161
43,149,Antivirus Security Software,146,Software Licenses/Upgrades,3,0.9798657718120806,0.959731543624161,Antivirus Security Software:146; Software Licenses/Upgrades:3
14,142,Power Adapters & Inverters,142,,0,1.0,1.0,Power Adapters & Inverters:142
25,137,PCs/Workstations,137,,0,1.0,1.0,PCs/Workstations:137
62,124,Fibre Optic Cables,124,,0,1.0,1.0,Fibre Optic Cables:124
46,114,Software Licenses/Upgrades,113,Antivirus Security Software,1,0.9912280701754386,0.9824561403508771,Software Licenses/Upgrades:113; Antivirus Security Software:1
1,95,Notebook Parts & Accessories,94,Flat Panel Spare Parts,1,0.9894736842105263,0.9789473684210527,Notebook Parts & Accessories:94; Flat Panel Spare Parts:1
68,92,Projection Screens,92,,0,1.0,1.0,Projection Screens:92
26,91,PCs/Workstations,91,,0,1.0,1.0,PCs/Workstations:91
65,82,Networking Cables,82,,0,1.0,1.0,Networking Cables:82
56,76,Computer Monitors,76,,0,1.0,1.0,Computer Monitors:76
42,74,Computer Monitors,72,TVs,1,0.972972972972973,0.9594594594594594,Computer Monitors:72; TVs:1; Signage Displays:1
69,74,Projection Screens,74,,0,1.0,1.0,Projection Screens:74
2,61,Notebook Parts & Accessories,61,,0,1.0,1.0,Notebook Parts & Accessories:61
33,59,Print & Scan Accessories,59,,0,1.0,1.0,Print & Scan Accessories:59
71,58,Uninterruptible Power Supplies (UPSs),58,,0,1.0,1.0,Uninterruptible Power Supplies (UPSs):58
54,56,Printing Equipment,56,,0,1.0,1.0,Printing Equipment:56
73,54,Servers,53,System Components,1,0.9814814814814815,0.9629629629629629,Servers:53; System Components:1
31,49,PCs/Workstations,49,,0,1.0,1.0,PCs/Workstations:49
74,48,Signage Displays,48,,0,1.0,1.0,Signage Displays:48
75,47,Server Barebones,46,System Components,1,0.9787234042553191,0.9574468085106383,Server Barebones:46; System Components:1
