cluster_id,size,dominant_L3,dominant_count,second_L3,second_count,purity,top2_gap,top_L3_counts
11__Notebooks,357,Notebooks,357,,0,1.0,1.0,Notebooks:357
11__All-in-One PCs/Workstations,344,All-in-One PCs/Workstations,344,,0,1.0,1.0,All-in-One PCs/Workstations:344
40__TVs,327,TVs,327,,0,1.0,1.0,TVs:327
6__Flat Panel Spare Parts,218,Flat Panel Spare Parts,218,,0,1.0,1.0,Flat Panel Spare Parts:218
8__Warranty & Support Extensions,161,Warranty & Support Extensions,161,,0,1.0,1.0,Warranty & Support Extensions:161
43__Antivirus Security Software,146,Antivirus Security Software,146,,0,1.0,1.0,Antivirus Security Software:146
14__Power Adapters & Inverters,142,Power Adapters & Inverters,142,,0,1.0,1.0,Power Adapters & Inverters:142
25__PCs/Workstations,137,PCs/Workstations,137,,0,1.0,1.0,PCs/Workstations:137
62__Fibre Optic Cables,124,Fibre Optic Cables,124,,0,1.0,1.0,Fibre Optic Cables:124
46__Software Licenses/Upgrades,113,Software Licenses/Upgrades,113,,0,1.0,1.0,Software Licenses/Upgrades:113
12__All-in-One PCs/Workstations,101,All-in-One PCs/Workstations,101,,0,1.0,1.0,All-in-One PCs/Workstations:101
1__Notebook Parts & Accessories,94,Notebook Parts & Accessories,94,,0,1.0,1.0,Notebook Parts & Accessories:94
68__Projection Screens,92,Projection Screens,92,,0,1.0,1.0,Projection Screens:92
26__PCs/Workstations,91,PCs/Workstations,91,,0,1.0,1.0,PCs/Workstations:91
12__Notebooks,89,Notebooks,89,,0,1.0,1.0,Notebooks:89
65__Networking Cables,82,Networking Cables,82,,0,1.0,1.0,Networking Cables:82
56__Computer Monitors,76,Computer Monitors,76,,0,1.0,1.0,Computer Monitors:76
69__Projection Screens,74,Projection Screens,74,,0,1.0,1.0,Projection Screens:74
42__Computer Monitors,72,Computer Monitors,72,,0,1.0,1.0,Computer Monitors:72
2__Notebook Parts & Accessories,61,Notebook Parts & Accessories,61,,0,1.0,1.0,Notebook Parts & Accessories:61
33__Print & Scan Accessories,59,Print & Scan Accessories,59,,0,1.0,1.0,Print & Scan Accessories:59
71__Uninterruptible Power Supplies (UPSs),58,Uninterruptible Power Supplies (UPSs),58,,0,1.0,1.0,Uninterruptible Power Supplies (UPSs):58
54__Printing Equipment,56,Printing Equipment,56,,0,1.0,1.0,Printing Equipment:56
73__Servers,53,Servers,53,,0,1.0,1.0,Servers:53
31__PCs/Workstations,49,PCs/Workstations,49,,0,1.0,1.0,PCs/Workstations:49
74__Signage Displays,48,Signage Displays,48,,0,1.0,1.0,Signage Displays:48
9__Warranty & Support Extensions,47,Warranty & Support Extensions,47,,0,1.0,1.0,Warranty & Support Extensions:47
75__Server Barebones,46,Server Barebones,46,,0,1.0,1.0,Server Barebones:46
44__Antivirus Security Software,45,Antivirus Security Software,45,,0,1.0,1.0,Antivirus Security Software:45
41__TVs,40,TVs,40,,0,1.0,1.0,TVs:40
19__Keyboards,39,Keyboards,39,,0,1.0,1.0,Keyboards:39
5__Notebook Parts & Accessories,39,Notebook Parts & Accessories,39,,0,1.0,1.0,Notebook Parts & Accessories:39
4__Notebook Parts & Accessories,36,Notebook Parts & Accessories,36,,0,1.0,1.0,Notebook Parts & Accessories:36
